1.00%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
1R,"Res, 1R Ohm, 1%, 50mW, R0201",Yageo,RC0100FR-071RL,Panasonic,ERJ-1GMF1R00C,Koa-Speer,RK73H1HTTC1R00F
1R02,"Res, 1R02 Ohm, 1R, 50mW, R0201",Yageo,RC0100FR-071R02L,Panasonic,ERJ-1GMF1R02C,Koa-Speer,RK73H1HTTC1R02F
1R5,"Res, 1R5 Ohm, 1R02, 50mW, R0201",Yageo,RC0100FR-071R5L,Panasonic,ERJ-1GMF1R50C,Koa-Speer,RK73H1HTTC1R50F
1R07,"Res, 1R07 Ohm, 1R5, 50mW, R0201",Yageo,RC0100FR-071R07L,Panasonic,ERJ-1GMF1R07C,Koa-Speer,RK73H1HTTC1R07F
1R1,"Res, 1R1 Ohm, 1R07, 50mW, R0201",Yageo,RC0100FR-071R1L,Panasonic,ERJ-1GMF1R10C,Koa-Speer,RK73H1HTTC1R10F
1R13,"Res, 1R13 Ohm, 1R1, 50mW, R0201",Yageo,RC0100FR-071R13L,Panasonic,ERJ-1GMF1R13C,Koa-Speer,RK73H1HTTC1R13F
1R15,"Res, 1R15 Ohm, 1R13, 50mW, R0201",Yageo,RC0100FR-071R15L,Panasonic,ERJ-1GMF1R15C,Koa-Speer,RK73H1HTTC1R15F
1R18,"Res, 1R18 Ohm, 1R15, 50mW, R0201",Yageo,RC0100FR-071R18L,Panasonic,ERJ-1GMF1R18C,Koa-Speer,RK73H1HTTC1R18F
1R21,"Res, 1R21 Ohm, 1R18, 50mW, R0201",Yageo,RC0100FR-071R21L,Panasonic,ERJ-1GMF1R21C,Koa-Speer,RK73H1HTTC1R21F
1R24,"Res, 1R24 Ohm, 1R21, 50mW, R0201",Yageo,RC0100FR-071R24L,Panasonic,ERJ-1GMF1R24C,Koa-Speer,RK73H1HTTC1R24F
1R27,"Res, 1R27 Ohm, 1R24, 50mW, R0201",Yageo,RC0100FR-071R27L,Panasonic,ERJ-1GMF1R27C,Koa-Speer,RK73H1HTTC1R27F
1R3,"Res, 1R3 Ohm, 1R27, 50mW, R0201",Yageo,RC0100FR-071R3L,Panasonic,ERJ-1GMF1R30C,Koa-Speer,RK73H1HTTC1R30F
1R33,"Res, 1R33 Ohm, 1R3, 50mW, R0201",Yageo,RC0100FR-071R33L,Panasonic,ERJ-1GMF1R33C,Koa-Speer,RK73H1HTTC1R33F
1R37,"Res, 1R37 Ohm, 1R33, 50mW, R0201",Yageo,RC0100FR-071R37L,Panasonic,ERJ-1GMF1R37C,Koa-Speer,RK73H1HTTC1R37F
1R4,"Res, 1R4 Ohm, 1R37, 50mW, R0201",Yageo,RC0100FR-071R4L,Panasonic,ERJ-1GMF1R40C,Koa-Speer,RK73H1HTTC1R40F
1R43,"Res, 1R43 Ohm, 1R4, 50mW, R0201",Yageo,RC0100FR-071R43L,Panasonic,ERJ-1GMF1R43C,Koa-Speer,RK73H1HTTC1R43F
1R47,"Res, 1R47 Ohm, 1R43, 50mW, R0201",Yageo,RC0100FR-071R47L,Panasonic,ERJ-1GMF1R47C,Koa-Speer,RK73H1HTTC1R47F
1R5,"Res, 1R5 Ohm, 1R47, 50mW, R0201",Yageo,RC0100FR-071R5L,Panasonic,ERJ-1GMF1R50C,Koa-Speer,RK73H1HTTC1R50F
1R54,"Res, 1R54 Ohm, 1R5, 50mW, R0201",Yageo,RC0100FR-071R54L,Panasonic,ERJ-1GMF1R54C,Koa-Speer,RK73H1HTTC1R54F
1R58,"Res, 1R58 Ohm, 1R54, 50mW, R0201",Yageo,RC0100FR-071R58L,Panasonic,ERJ-1GMF1R58C,Koa-Speer,RK73H1HTTC1R58F
1R62,"Res, 1R62 Ohm, 1R58, 50mW, R0201",Yageo,RC0100FR-071R62L,Panasonic,ERJ-1GMF1R62C,Koa-Speer,RK73H1HTTC1R62F
1R65,"Res, 1R65 Ohm, 1R62, 50mW, R0201",Yageo,RC0100FR-071R65L,Panasonic,ERJ-1GMF1R65C,Koa-Speer,RK73H1HTTC1R65F
1R69,"Res, 1R69 Ohm, 1R65, 50mW, R0201",Yageo,RC0100FR-071R69L,Panasonic,ERJ-1GMF1R69C,Koa-Speer,RK73H1HTTC1R69F
1R74,"Res, 1R74 Ohm, 1R69, 50mW, R0201",Yageo,RC0100FR-071R74L,Panasonic,ERJ-1GMF1R74C,Koa-Speer,RK73H1HTTC1R74F
1R78,"Res, 1R78 Ohm, 1R74, 50mW, R0201",Yageo,RC0100FR-071R78L,Panasonic,ERJ-1GMF1R78C,Koa-Speer,RK73H1HTTC1R78F
1R82,"Res, 1R82 Ohm, 1R78, 50mW, R0201",Yageo,RC0100FR-071R82L,Panasonic,ERJ-1GMF1R82C,Koa-Speer,RK73H1HTTC1R82F
1R87,"Res, 1R87 Ohm, 1R82, 50mW, R0201",Yageo,RC0100FR-071R87L,Panasonic,ERJ-1GMF1R87C,Koa-Speer,RK73H1HTTC1R87F
1R91,"Res, 1R91 Ohm, 1R87, 50mW, R0201",Yageo,RC0100FR-071R91L,Panasonic,ERJ-1GMF1R91C,Koa-Speer,RK73H1HTTC1R91F
1R96,"Res, 1R96 Ohm, 1R91, 50mW, R0201",Yageo,RC0100FR-071R96L,Panasonic,ERJ-1GMF1R96C,Koa-Speer,RK73H1HTTC1R96F
2R,"Res, 2R Ohm, 1R96, 50mW, R0201",Yageo,RC0100FR-072RL,Panasonic,ERJ-1GMF2R00C,Koa-Speer,RK73H1HTTC2R00F
2R05,"Res, 2R05 Ohm, 2R, 50mW, R0201",Yageo,RC0100FR-072R05L,Panasonic,ERJ-1GMF2R05C,Koa-Speer,RK73H1HTTC2R05F
2R1,"Res, 2R1 Ohm, 2R05, 50mW, R0201",Yageo,RC0100FR-072R1L,Panasonic,ERJ-1GMF2R10C,Koa-Speer,RK73H1HTTC2R10F
2R15,"Res, 2R15 Ohm, 2R1, 50mW, R0201",Yageo,RC0100FR-072R15L,Panasonic,ERJ-1GMF2R15C,Koa-Speer,RK73H1HTTC2R15F
2R21,"Res, 2R21 Ohm, 2R15, 50mW, R0201",Yageo,RC0100FR-072R21L,Panasonic,ERJ-1GMF2R21C,Koa-Speer,RK73H1HTTC2R21F
2R26,"Res, 2R26 Ohm, 2R21, 50mW, R0201",Yageo,RC0100FR-072R26L,Panasonic,ERJ-1GMF2R26C,Koa-Speer,RK73H1HTTC2R26F
2R32,"Res, 2R32 Ohm, 2R26, 50mW, R0201",Yageo,RC0100FR-072R32L,Panasonic,ERJ-1GMF2R32C,Koa-Speer,RK73H1HTTC2R32F
2R37,"Res, 2R37 Ohm, 2R32, 50mW, R0201",Yageo,RC0100FR-072R37L,Panasonic,ERJ-1GMF2R37C,Koa-Speer,RK73H1HTTC2R37F
2R43,"Res, 2R43 Ohm, 2R37, 50mW, R0201",Yageo,RC0100FR-072R43L,Panasonic,ERJ-1GMF2R43C,Koa-Speer,RK73H1HTTC2R43F
2R49,"Res, 2R49 Ohm, 2R43, 50mW, R0201",Yageo,RC0100FR-072R49L,Panasonic,ERJ-1GMF2R49C,Koa-Speer,RK73H1HTTC2R49F
2R55,"Res, 2R55 Ohm, 2R49, 50mW, R0201",Yageo,RC0100FR-072R55L,Panasonic,ERJ-1GMF2R55C,Koa-Speer,RK73H1HTTC2R55F
2R61,"Res, 2R61 Ohm, 2R55, 50mW, R0201",Yageo,RC0100FR-072R61L,Panasonic,ERJ-1GMF2R61C,Koa-Speer,RK73H1HTTC2R61F
2R67,"Res, 2R67 Ohm, 2R61, 50mW, R0201",Yageo,RC0100FR-072R67L,Panasonic,ERJ-1GMF2R67C,Koa-Speer,RK73H1HTTC2R67F
2R74,"Res, 2R74 Ohm, 2R67, 50mW, R0201",Yageo,RC0100FR-072R74L,Panasonic,ERJ-1GMF2R74C,Koa-Speer,RK73H1HTTC2R74F
2R8,"Res, 2R8 Ohm, 2R74, 50mW, R0201",Yageo,RC0100FR-072R8L,Panasonic,ERJ-1GMF2R80C,Koa-Speer,RK73H1HTTC2R80F
2R87,"Res, 2R87 Ohm, 2R8, 50mW, R0201",Yageo,RC0100FR-072R87L,Panasonic,ERJ-1GMF2R87C,Koa-Speer,RK73H1HTTC2R87F
2R94,"Res, 2R94 Ohm, 2R87, 50mW, R0201",Yageo,RC0100FR-072R94L,Panasonic,ERJ-1GMF2R94C,Koa-Speer,RK73H1HTTC2R94F
