1%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
1R,"Res, 1R Ohm, 1%, 100mW, R0603",Yageo,RC0603FR-071RP,Panasonic,ERJ-U03F1R00V,Koa-Speer,RK73H1JTTD1R00F
1R02,"Res, 1R02 Ohm, 1R, 100mW, R0603",Yageo,RC0603FR-071R02P,Panasonic,ERJ-U03F1R02V,Koa-Speer,RK73H1JTTD1R02F
1R5,"Res, 1R5 Ohm, 1R02, 100mW, R0603",Yageo,RC0603FR-071R5P,Panasonic,ERJ-U03F1R50V,Koa-Speer,RK73H1JTTD1R50F
1R07,"Res, 1R07 Ohm, 1R5, 100mW, R0603",Yageo,RC0603FR-071R07P,Panasonic,ERJ-U03F1R07V,Koa-Speer,RK73H1JTTD1R07F
1R1,"Res, 1R1 Ohm, 1R07, 100mW, R0603",Yageo,RC0603FR-071R1P,Panasonic,ERJ-U03F1R10V,Koa-Speer,RK73H1JTTD1R10F
1R13,"Res, 1R13 Ohm, 1R1, 100mW, R0603",Yageo,RC0603FR-071R13P,Panasonic,ERJ-U03F1R13V,Koa-Speer,RK73H1JTTD1R13F
1R15,"Res, 1R15 Ohm, 1R13, 100mW, R0603",Yageo,RC0603FR-071R15P,Panasonic,ERJ-U03F1R15V,Koa-Speer,RK73H1JTTD1R15F
1R18,"Res, 1R18 Ohm, 1R15, 100mW, R0603",Yageo,RC0603FR-071R18P,Panasonic,ERJ-U03F1R18V,Koa-Speer,RK73H1JTTD1R18F
1R21,"Res, 1R21 Ohm, 1R18, 100mW, R0603",Yageo,RC0603FR-071R21P,Panasonic,ERJ-U03F1R21V,Koa-Speer,RK73H1JTTD1R21F
1R24,"Res, 1R24 Ohm, 1R21, 100mW, R0603",Yageo,RC0603FR-071R24P,Panasonic,ERJ-U03F1R24V,Koa-Speer,RK73H1JTTD1R24F
1R27,"Res, 1R27 Ohm, 1R24, 100mW, R0603",Yageo,RC0603FR-071R27P,Panasonic,ERJ-U03F1R27V,Koa-Speer,RK73H1JTTD1R27F
1R3,"Res, 1R3 Ohm, 1R27, 100mW, R0603",Yageo,RC0603FR-071R3P,Panasonic,ERJ-U03F1R30V,Koa-Speer,RK73H1JTTD1R30F
1R33,"Res, 1R33 Ohm, 1R3, 100mW, R0603",Yageo,RC0603FR-071R33P,Panasonic,ERJ-U03F1R33V,Koa-Speer,RK73H1JTTD1R33F
1R37,"Res, 1R37 Ohm, 1R33, 100mW, R0603",Yageo,RC0603FR-071R37P,Panasonic,ERJ-U03F1R37V,Koa-Speer,RK73H1JTTD1R37F
